"Number","Name","Type1","Type2","Total","HP","Attack","Defense","SpecialAtk","SpecialDef","Speed","Generation","Legendary"
152,"Chikorita","Grass",NA,318,45,49,65,49,65,45,2,FALSE
153,"Bayleef","Grass",NA,405,60,62,80,63,80,60,2,FALSE
154,"Meganium","Grass",NA,525,80,82,100,83,100,80,2,FALSE
155,"Cyndaquil","Fire",NA,309,39,52,43,60,50,65,2,FALSE
156,"Quilava","Fire",NA,405,58,64,58,80,65,80,2,FALSE
157,"Typhlosion","Fire",NA,534,78,84,78,109,85,100,2,FALSE
158,"Totodile","Water",NA,314,50,65,64,44,48,43,2,FALSE
159,"Croconaw","Water",NA,405,65,80,80,59,63,58,2,FALSE
160,"Feraligatr","Water",NA,530,85,105,100,79,83,78,2,FALSE
161,"Sentret","Normal",NA,215,35,46,34,35,45,20,2,FALSE
162,"Furret","Normal",NA,415,85,76,64,45,55,90,2,FALSE
163,"Hoothoot","Normal","Flying",262,60,30,30,36,56,50,2,FALSE
164,"Noctowl","Normal","Flying",442,100,50,50,76,96,70,2,FALSE
165,"Ledyba","Bug","Flying",265,40,20,30,40,80,55,2,FALSE
166,"Ledian","Bug","Flying",390,55,35,50,55,110,85,2,FALSE
167,"Spinarak","Bug","Poison",250,40,60,40,40,40,30,2,FALSE
168,"Ariados","Bug","Poison",390,70,90,70,60,60,40,2,FALSE
169,"Crobat","Poison","Flying",535,85,90,80,70,80,130,2,FALSE
170,"Chinchou","Water","Electric",330,75,38,38,56,56,67,2,FALSE
171,"Lanturn","Water","Electric",460,125,58,58,76,76,67,2,FALSE
172,"Pichu","Electric",NA,205,20,40,15,35,35,60,2,FALSE
173,"Cleffa","Fairy",NA,218,50,25,28,45,55,15,2,FALSE
174,"Igglybuff","Normal","Fairy",210,90,30,15,40,20,15,2,FALSE
175,"Togepi","Fairy",NA,245,35,20,65,40,65,20,2,FALSE
176,"Togetic","Fairy","Flying",405,55,40,85,80,105,40,2,FALSE
177,"Natu","Psychic","Flying",320,40,50,45,70,45,70,2,FALSE
178,"Xatu","Psychic","Flying",470,65,75,70,95,70,95,2,FALSE
179,"Mareep","Electric",NA,280,55,40,40,65,45,35,2,FALSE
180,"Flaaffy","Electric",NA,365,70,55,55,80,60,45,2,FALSE
181,"Ampharos","Electric",NA,510,90,75,85,115,90,55,2,FALSE
181,"Ampharos Mega Ampharos","Electric","Dragon",610,90,95,105,165,110,45,2,FALSE
182,"Bellossom","Grass",NA,490,75,80,95,90,100,50,2,FALSE
183,"Marill","Water","Fairy",250,70,20,50,20,50,40,2,FALSE
184,"Azumarill","Water","Fairy",420,100,50,80,60,80,50,2,FALSE
185,"Sudowoodo","Rock",NA,410,70,100,115,30,65,30,2,FALSE
186,"Politoed","Water",NA,500,90,75,75,90,100,70,2,FALSE
187,"Hoppip","Grass","Flying",250,35,35,40,35,55,50,2,FALSE
188,"Skiploom","Grass","Flying",340,55,45,50,45,65,80,2,FALSE
189,"Jumpluff","Grass","Flying",460,75,55,70,55,95,110,2,FALSE
190,"Aipom","Normal",NA,360,55,70,55,40,55,85,2,FALSE
191,"Sunkern","Grass",NA,180,30,30,30,30,30,30,2,FALSE
192,"Sunflora","Grass",NA,425,75,75,55,105,85,30,2,FALSE
193,"Yanma","Bug","Flying",390,65,65,45,75,45,95,2,FALSE
194,"Wooper","Water","Ground",210,55,45,45,25,25,15,2,FALSE
195,"Quagsire","Water","Ground",430,95,85,85,65,65,35,2,FALSE
196,"Espeon","Psychic",NA,525,65,65,60,130,95,110,2,FALSE
